power_W,speed_mm_s,focus_depth_um,absorptivity,T_peak_K,haz_radius_um,penetration_depth_um,throughput_proxy,kerf_quality,above_damage_thr,below_melt
10.0,300.0,75.0,0.25,815.3244601946406,0.0,0.0,300.0,0.0,False,True
10.0,300.0,75.0,0.35,1021.4542442724967,0.0,0.0,300.0,0.0,False,True
10.0,300.0,75.0,0.45,1227.584028350353,0.0,0.0,300.0,0.0,False,True
10.0,300.0,100.0,0.25,815.3244601946406,0.0,0.0,300.0,0.0,False,True
10.0,300.0,100.0,0.35,1021.4542442724967,0.0,0.0,300.0,0.0,False,True
10.0,300.0,100.0,0.45,1227.584028350353,0.0,0.0,300.0,0.0,False,True
10.0,300.0,125.0,0.25,815.3244601946406,0.0,0.0,300.0,0.0,False,True
10.0,300.0,125.0,0.35,1021.4542442724967,0.0,0.0,300.0,0.0,False,True
10.0,300.0,125.0,0.45,1227.584028350353,0.0,0.0,300.0,0.0,False,True
10.0,300.0,150.0,0.25,815.3244601946406,0.0,0.0,300.0,0.0,False,True
10.0,300.0,150.0,0.35,1021.4542442724967,0.0,0.0,300.0,0.0,False,True
10.0,300.0,150.0,0.45,1227.584028350353,0.0,0.0,300.0,0.0,False,True
10.0,400.0,50.0,0.25,785.6722769750088,0.0,0.0,400.0,0.0,False,True
10.0,400.0,50.0,0.35,979.9411877650124,0.0,0.0,400.0,0.0,False,True
10.0,400.0,50.0,0.45,1174.210098555016,0.0,0.0,400.0,0.0,False,True
10.0,400.0,75.0,0.25,785.6722769750088,0.0,0.0,400.0,0.0,False,True
10.0,400.0,75.0,0.35,979.9411877650124,0.0,0.0,400.0,0.0,False,True
10.0,400.0,75.0,0.45,1174.210098555016,0.0,0.0,400.0,0.0,False,True
10.0,400.0,100.0,0.25,785.6722769750088,0.0,0.0,400.0,0.0,False,True
10.0,400.0,100.0,0.35,979.9411877650124,0.0,0.0,400.0,0.0,False,True
10.0,400.0,100.0,0.45,1174.210098555016,0.0,0.0,400.0,0.0,False,True
10.0,400.0,125.0,0.25,785.6722769750088,0.0,0.0,400.0,0.0,False,True
10.0,400.0,125.0,0.35,979.9411877650124,0.0,0.0,400.0,0.0,False,True
10.0,400.0,125.0,0.45,1174.210098555016,0.0,0.0,400.0,0.0,False,True
10.0,400.0,150.0,0.25,785.6722769750088,0.0,0.0,400.0,0.0,False,True
10.0,400.0,150.0,0.35,979.9411877650124,0.0,0.0,400.0,0.0,False,True
10.0,400.0,150.0,0.45,1174.210098555016,0.0,0.0,400.0,0.0,False,True
15.0,100.0,50.0,0.25,1245.7440558784288,0.0,0.0,100.0,0.0,False,True
15.0,100.0,50.0,0.35,1624.0416782298003,2.217739606569451,11.088698032847255,45.090956442215834,0.08252939336646724,True,True
15.0,100.0,50.0,0.45,2002.339300581172,4.181398136579695,20.906990682898474,23.915445679563565,0.3342244182176793,True,True
15.0,100.0,75.0,0.25,1245.7440558784288,0.0,0.0,100.0,0.0,False,True
15.0,100.0,75.0,0.35,1624.0416782298003,2.217739606569451,11.088698032847255,45.090956442215834,0.08252939336646724,True,True
15.0,100.0,75.0,0.45,2002.339300581172,4.181398136579695,20.906990682898474,23.915445679563565,0.3342244182176793,True,True
15.0,100.0,100.0,0.25,1245.7440558784288,0.0,0.0,100.0,0.0,False,True
15.0,100.0,100.0,0.35,1624.0416782298003,2.217739606569451,11.088698032847255,45.090956442215834,0.08252939336646724,True,True
15.0,100.0,100.0,0.45,2002.339300581172,4.181398136579695,20.906990682898474,23.915445679563565,0.3342244182176793,True,True
15.0,100.0,125.0,0.25,1245.7440558784288,0.0,0.0,100.0,0.0,False,True
15.0,100.0,125.0,0.35,1624.0416782298003,2.217739606569451,11.088698032847255,45.090956442215834,0.08252939336646724,True,True
15.0,100.0,125.0,0.45,2002.339300581172,4.181398136579695,20.906990682898474,23.915445679563565,0.3342244182176793,True,True
15.0,100.0,150.0,0.25,1245.7440558784288,0.0,0.0,100.0,0.0,False,True
15.0,100.0,150.0,0.35,1624.0416782298003,2.217739606569451,11.088698032847255,45.090956442215834,0.08252939336646724,True,True
15.0,100.0,150.0,0.45,2002.339300581172,4.181398136579695,20.906990682898474,23.915445679563565,0.3342244182176793,True,True
15.0,200.0,50.0,0.25,1136.2950950837544,0.0,0.0,200.0,0.0,False,True
15.0,200.0,50.0,0.35,1470.813133117256,0.0,0.0,200.0,0.0,False,True
15.0,200.0,50.0,0.45,1805.3311711507577,3.3666850496911978,16.83342524845599,59.40561622131675,0.20314781846357793,True,True
15.0,200.0,75.0,0.25,1136.2950950837544,0.0,0.0,200.0,0.0,False,True
15.0,200.0,75.0,0.35,1470.813133117256,0.0,0.0,200.0,0.0,False,True
15.0,200.0,75.0,0.45,1805.3311711507577,3.3666850496911978,16.83342524845599,59.40561622131675,0.20314781846357793,True,True
15.0,200.0,100.0,0.25,1136.2950950837544,0.0,0.0,200.0,0.0,False,True
15.0,200.0,100.0,0.35,1470.813133117256,0.0,0.0,200.0,0.0,False,True
15.0,200.0,100.0,0.45,1805.3311711507577,3.3666850496911978,16.83342524845599,59.40561622131675,0.20314781846357793,True,True
15.0,200.0,125.0,0.25,1136.2950950837544,0.0,0.0,200.0,0.0,False,True
15.0,200.0,125.0,0.35,1470.813133117256,0.0,0.0,200.0,0.0,False,True
