material,route,street_width_um,wafer_thickness_um,lowk_stack_um,groove_power_W,groove_speed_mm_s,groove_passes,stealth_power_W,stealth_speed_mm_s,stealth_focal_depth_um,stealth_layers,plasma_pressure_mTorr,plasma_etch_rate_um_min,blade_feed_mm_s,blade_W_um,mat_K_Ic_MPa,mat_H_GPa,mat_E_GPa,mat_k_thermal,mat_sigma_flex_MPa,a_kerf_um,a_chip_um,a_haz_um,a_lowk_cleared_um,a_wph,b_method,b_kerf_um,b_chip_um,b_haz_um,b_ssd_um,b_residual_MPa,b_wph,feasible,n_violations,die_strength_MPa,total_chipping_um,max_haz_um,governing_crack_um,throughput_wph,residual_stress_MPa
Si,laser+stealth,20.0,80.0,2.0,27.254162016423216,376.73342497242055,3,4.412265756214736,319.5066656777699,67.20760029592147,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.806,1.0230464000000001,1.8000000000000003,0.691,13.325737433207268,stealth,2.294,0.265,0.0035,0.1178,1.69,11.594906269506039,0,2,200.0,1.0230464000000001,1.8000000000000003,0.9000000000000001,6.20010776420127,5.5432
Si,laser+stealth,20.0,80.0,2.0,24.460997116834392,361.212804050657,4,2.271153883361094,281.63398450457277,62.554259295134315,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.661,1.0151584000000002,1.7999999999999998,0.927,10.052932943755128,stealth,1.996,0.246,0.0023,0.0756,1.69,14.646780760662805,0,2,200.0,1.0151584000000002,1.7999999999999998,0.8999999999999999,5.961328402057112,5.5432
Si,laser+stealth,20.0,80.0,2.0,24.947909369923494,98.60183710507127,2,4.629895281230847,277.19116053669325,47.205820100122985,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.688,1.0166272,1.7999999999999998,0.89,5.820484474654509,stealth,2.078,0.31,0.0024,0.07880000000000001,1.69,14.457481304142702,0,2,200.0,1.0166272,1.7999999999999998,0.8999999999999999,4.1498021246962455,5.5432
Si,laser+stealth,20.0,80.0,2.0,26.848308105039656,385.03819562455516,4,7.7149477931830255,186.76991429921918,42.9509302126213,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.786,1.0219584000000002,1.7999999999999998,0.91,10.627928347606332,stealth,1.795,0.282,0.0012,0.040400000000000005,1.69,18.331253786357678,0,2,200.0,1.0219584000000002,1.7999999999999998,0.8999999999999999,6.727512222615686,5.5432
Si,laser+stealth,20.0,80.0,2.0,20.708457510458192,170.81060828263915,6,2.5907363173108027,385.05018987210195,65.92260435201062,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.437,1.0029728000000002,1.8,1.974,3.4676004503298596,stealth,2.012,0.237,0.0023,0.0762,1.69,18.763631845971247,0,2,200.0,1.0029728000000002,1.8,0.9,2.926728368977515,5.5432
Si,laser+stealth,20.0,80.0,2.0,16.198283776832362,297.706884574921,3,4.988284292177655,422.2525385562356,61.550787810359544,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.101,0.9846944,1.7999999999999998,0.721,10.911696618200013,stealth,1.755,0.219,0.0012,0.0396,1.69,32.15413413947949,0,2,200.0,0.9846944,1.7999999999999998,0.8999999999999999,8.146972915142086,5.5432
Si,laser+stealth,20.0,80.0,2.0,28.414588317836973,115.18529708114917,6,2.445053263696719,153.5580572965012,88.57648635870696,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.861,1.0260384,1.7999999999999998,2.516,2.371839106347671,stealth,2.005,0.167,0.0023,0.07600000000000001,1.69,8.711308400189605,0,1,200.0,1.0260384,1.7999999999999998,0.8999999999999999,1.8642557918531284,5.5432
Si,laser+stealth,20.0,80.0,2.0,29.376115758248226,319.9333388262137,3,3.6595112826695937,443.96420002309173,89.79584976951571,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.905,1.0284320000000002,1.7999999999999998,0.758,11.608143497151156,stealth,1.725,0.141,0.0012,0.0388,1.69,33.122920833856554,0,2,200.0,1.0284320000000002,1.7999999999999998,0.8999999999999999,8.595718072767854,5.5432
Si,laser+stealth,20.0,80.0,2.0,17.973341503068486,111.14839322995473,4,3.2384569042446563,453.56941525335196,81.91713982530267,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.244,0.9924736000000001,1.7999999999999998,1.597,3.38812496990919,stealth,2.255,0.21,0.0035,0.1158,1.69,15.516427280159263,0,2,200.0,0.9924736000000001,1.7999999999999998,0.8999999999999999,2.780896051716717,5.5432
Si,laser+stealth,20.0,80.0,2.0,21.652417570224195,152.9034777136693,2,7.593080807660211,480.2447515198557,69.17174915622955,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.497,1.0062368000000002,1.8,0.7,8.678202490347388,stealth,1.794,0.202,0.0012,0.040400000000000005,1.69,34.65709241607959,0,2,200.0,1.0062368000000002,1.8,0.9,6.94033042495382,5.5432
