material,process,mat_k_thermal,mat_E_GPa,mat_cte,power_W,speed_mm_s,beam_radius_um,blade_W_um,cut_depth_um,peak_T_C,groove_depth_um,haz_depth_um,haz_excess_um,haz_width_um,haz_volume_um3,haz_volume_frac,ablated_volume_um3,max_grad_C_per_um,max_thermal_stress_MPa,crack_risk_volume_um3,crack_risk_frac,n_steps
Si,laser,148.0,130.0,2.6e-06,8.271074036140941,110.7342781932686,3.7687641402770535,23.0,60.0,1518.85,0.0,10.0,10.0,25.0,2625.0,0.001657,0.0,140.901,701.28,6625.0,0.004182,9000
Si,laser,148.0,130.0,2.6e-06,13.91987078505819,277.5208700095179,5.0017944536903425,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,5875.0,0.003709,125.0,173.917,927.15,12375.0,0.007812,2051
Si,laser,148.0,130.0,2.6e-06,29.728336132420072,398.24464706721636,7.946496576955229,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,7375.0,0.004656,125.0,306.84,927.15,13750.0,0.008681,601
Si,laser,148.0,130.0,2.6e-06,20.11010569138157,277.107530560298,3.1251141041737562,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1000.0,0.000631,125.0,395.0,927.15,2125.0,0.001342,451
Si,laser,148.0,130.0,2.6e-06,37.24661297332461,244.57231609774598,3.0796981490532382,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1250.0,0.000789,250.0,395.0,927.15,2125.0,0.001342,351
Si,laser,148.0,130.0,2.6e-06,39.50307824381357,146.54557464984197,7.291542095544687,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,927.15,6500.0,0.004104,401
Si,laser,148.0,130.0,2.6e-06,17.280501487658213,80.71943123670366,5.740527050051058,23.0,60.0,1945.47,0.0,15.0,15.0,25.0,4375.0,0.002762,0.0,212.8,901.56,8250.0,0.005208,3601
Si,laser,148.0,130.0,2.6e-06,17.01929968734482,192.60231847577953,6.332862305556992,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,8500.0,0.005366,125.0,159.637,927.15,17375.0,0.010969,2851
Si,laser,148.0,130.0,2.6e-06,35.560147949698106,314.1243711539895,7.0884454441740035,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,4750.0,0.002999,250.0,395.0,927.15,9000.0,0.005682,401
Si,laser,148.0,130.0,2.6e-06,16.496970690732155,141.17896829468398,7.90400896275431,23.0,60.0,1742.09,0.0,20.0,20.0,35.0,12375.0,0.007812,0.0,118.378,806.08,27500.0,0.017361,6851
Si,laser,148.0,130.0,2.6e-06,26.713927130793245,114.371967558264,4.5423329887301485,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1625.0,0.001026,125.0,395.0,927.15,3000.0,0.001894,751
Si,laser,148.0,130.0,2.6e-06,23.70135949901442,387.3237492508026,6.046975125377038,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,5375.0,0.003393,125.0,295.435,927.15,10125.0,0.006392,651
Si,laser,148.0,130.0,2.6e-06,17.477049175365917,222.3487213554957,6.708345862087788,23.0,60.0,2000.0,5.0,20.0,15.0,35.0,11125.0,0.007023,125.0,151.032,927.15,22125.0,0.013968,3051
Si,laser,148.0,130.0,2.6e-06,11.329556095688478,227.38623142800213,3.5550778912948306,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1750.0,0.001105,125.0,211.343,927.15,4125.0,0.002604,1301
Si,laser,148.0,130.0,2.6e-06,12.88963121614551,260.4600710237783,5.327630008507889,23.0,60.0,1805.82,0.0,15.0,15.0,35.0,8000.0,0.005051,0.0,149.825,836.0,19000.0,0.011995,7701
Si,laser,148.0,130.0,2.6e-06,36.985641186757576,334.1171313492655,5.873434295546849,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,927.15,6500.0,0.004104,351
